,WEEK #,COCKTAIL
Egg [White],53,Astor Hotel Special [guest post by /u/bitcheslovebanjos]
Egg [White],55,Amaretto Sour
Egg [White],64,Brass Rail
Egg [White],90,Sloe Gin Fizz
Egg [White],93,Earl Grey MarTEAni & Mandala [guest post by /u/ems88]
Egg [White],95,Royal Smile
Egg [Whole],49,Eggnog
Fernet Branca,4,Montgomery Smith
Fernet Branca,96,Toronto [guest post by /u/_chrono]
Fleur d'Orange,6,Ramos Gin Fizz
Gin,3,Corpse Reviver No. 2
Gin,6,Ramos Gin Fizz
Gin,11,Negroni
Gin,12,Pamplemousse
Gin,14,Pegu Club [guest post by /u/ClamydiaDellArte]
Gin,15,Martinez
Gin,17,Pimm’s Cup
Gin,19,Intro to Aperol
Gin,20,White Lady [guest post by /u/gregbenson314]
Gin,22,Claridge
Gin,24,Clover Club
Gin,30,Southside and Southern Exposure
Gin,32,Bee’s Knees
Gin,38,Lucien Gaudin
Gin,42,Delmonico
Gin,54,Alaska
Gin,58,Between the Sheets [guest post by /u/GWCad]
Gin,65,Bronx & Income Tax
Gin,67,20th Century [guest post by /u/whaleodile]
Gin,70,Singapore Sling
Gin,73,Martini [guest post by /u/highbrowalcoholic]
Gin,76,Gimlet
Gin,82,Cloister [guest post by /u/GWCad]
Gin,93,Earl Grey MarTEAni & Mandala [guest post by /u/ems88]
Gin,95,Royal Smile
Gin,111,Rickey [guest post by /u/GWCad]
Gin,113,Muddled Mission
Gin,120,Saturn
Gin [Dry],104b,Vintage Negroni
Gin [Genever],31,Shaddock
Gin [Old Tom],6,Ramos Gin Fizz
Gin [Old Tom],15,Martinez
Gin [Old Tom],73,Martini [guest post by /u/highbrowalcoholic]
Gin [Plymouth],11,Negroni
Gin [Plymouth],65,Bronx & Income Tax
Gin [Plymouth],67,20th Century [guest post by /u/whaleodile]
Gin [Plymouth],70,Singapore Sling
Gin [Plymouth],76,Gimlet
Gin [Plymouth],78,Melon Stand
Gin [Plymouth],82,Cloister [guest post by /u/GWCad]
Gin [Plymouth],90,Sloe Gin Fizz
Gin [Plymouth],109,Bijou
Gin [Plymouth],117,Water Lily
Gin [Sloe],90,Sloe Gin Fizz
Gin [Sloe],92,Charlie Chaplin
Gin [Sloe],94,Savoy Tango
Ginger Ale,17,Pimm’s Cup
Ginger Ale,70,Singapore Sling
Ginger Beer,18,Dark ‘n Stormy
Herbsaint,33,Rattlesnake [guest post by /u/GWCad]
Herbsaint,61,Sazerac
Honey,28,Mai Tai
Honey,32,Bee’s Knees
Honey,33,Rattlesnake [guest post by /u/GWCad]
Honey,41,Penicillin
Honey,79,Brown Derby
Honey,83,Tiki Edition - Three Dots & A Dash
Honey,88,Tiki Edition – Navy Grog
IPA,23,Bitter End
Juice [Apple Cider],97,Flannel Shirt
Juice [Grapefruit],12,Pamplemousse
Juice [Grapefruit],40,Zombie [guest post by /u/bitcheslovebanjos]
Juice [Grapefruit],79,Brown Derby
Juice [Grapefruit],82,Cloister [guest post by /u/GWCad]
Juice [Grapefruit],88,Tiki Edition – Navy Grog
Juice [Lemon],3,Corpse Reviver No. 2
Juice [Lemon],6,Ramos Gin Fizz
Juice [Lemon],6,Ramos Gin Fizz
Juice [Lemon],8,Sidecar
Juice [Lemon],12,Pamplemousse
Juice [Lemon],13,Jack Rose
Juice [Lemon],16,Final Ward
Juice [Lemon],17,Pimm’s Cup
Juice [Lemon],19,Intro to Aperol
Juice [Lemon],20,White Lady [guest post by /u/gregbenson314]
Juice [Lemon],24,Clover Club
Juice [Lemon],30,Southside and Southern Exposure
Juice [Lemon],31,Shaddock
Juice [Lemon],32,Bee’s Knees
Juice [Lemon],33,Rattlesnake [guest post by /u/GWCad]
Juice [Lemon],34,Cameron’s Kick
Juice [Lemon],39,Sherry Cobbler
Juice [Lemon],40,Zombie [guest post by /u/bitcheslovebanjos]
Juice [Lemon],41,Penicillin
Juice [Lemon],46,Scofflaw
Juice [Lemon],48,Twelve Mile Limit
Juice [Lemon],53,Astor Hotel Special [guest post by /u/bitcheslovebanjos]
Juice [Lemon],55,Amaretto Sour
Juice [Lemon],56,Ward Eight
Juice [Lemon],57,Bronco Buster
Juice [Lemon],58,Between the Sheets [guest post by /u/GWCad]
Juice [Lemon],62,Champs Élysées
Juice [Lemon],64,Brass Rail
Juice [Lemon],66,Deauville
Juice [Lemon],67,20th Century [guest post by /u/whaleodile]
Juice [Lemon],68,Jake Barnes
Juice [Lemon],70,Singapore Sling
Juice [Lemon],76,Gimlet
Juice [Lemon],77,Hoop La!
Juice [Lemon],78,Melon Stand
Juice [Lemon],82,Cloister [guest post by /u/GWCad]
Juice [Lemon],90,Sloe Gin Fizz
Juice [Lemon],93,Earl Grey MarTEAni & Mandala [guest post by /u/ems88]
Juice [Lemon],95,Royal Smile
Juice [Lemon],97,Flannel Shirt
Juice [Lemon],102,Admiral Russel's Punch
Juice [Lemon],108,Paper Plane
Juice [Lemon],113,Muddled Mission
Juice [Lemon],117,Water Lily
Juice [Lemon],120,Saturn
Juice [Lemon],121,Little Miss Annabelle
Juice [Lime],6,Ramos Gin Fizz
Juice [Lime],7,Lion’s Tail
